scene,i,j,pi_xyz,pj_xyz,unet_ij_tau_rms_ns,unet_ji_tau_rms_ns,unet_absdiff_tau_rms_ns,unet_valid,sionna_ij_tau_rms_ns,sionna_ji_tau_rms_ns,sionna_absdiff_tau_rms_ns,sionna_valid
random_000,3,18,"35.625,20.000,0.938","6.250,17.500,1.562",16.289731979370117,13.679573059082031,2.610158920288086,1,23.80154037475586,24.770246505737305,0.9687061309814453,1
random_000,3,19,"35.625,20.000,0.938","8.750,11.250,1.562",19.64063262939453,17.592758178710938,2.0478744506835938,1,26.646474838256836,29.41714859008789,2.7706737518310547,1
random_000,3,20,"35.625,20.000,0.938","38.125,23.750,2.188",7.3448486328125,6.115528106689453,1.2293205261230469,1,10.055785179138184,7.479192733764648,2.576592445373535,1
random_000,3,21,"35.625,20.000,0.938","1.250,10.625,0.938",19.430727005004883,15.709385871887207,3.721341133117676,1,27.187719345092773,25.782644271850586,1.4050750732421875,1
random_000,3,22,"35.625,20.000,0.938","10.625,6.875,0.312",16.960834503173828,16.31016731262207,0.6506671905517578,1,26.081783294677734,24.42740249633789,1.6543807983398438,1
random_000,3,23,"35.625,20.000,0.938","25.625,2.500,0.312",13.432336807250977,13.822895050048828,0.39055824279785156,1,21.196592330932617,22.643917083740234,1.4473247528076172,1
random_000,3,24,"35.625,20.000,0.938","28.125,26.875,0.938",10.58091926574707,12.174206733703613,1.593287467956543,1,20.11750030517578,17.100603103637695,3.016897201538086,1
random_000,3,25,"35.625,20.000,0.938","28.750,32.500,0.938",12.682823181152344,13.84621524810791,1.1633920669555664,1,23.149486541748047,22.765199661254883,0.38428688049316406,1
random_000,3,26,"35.625,20.000,0.938","7.500,31.875,0.312",16.92017936706543,17.833293914794922,0.9131145477294922,1,27.921245574951172,24.76253318786621,3.158712387084961,1
random_000,3,27,"35.625,20.000,0.938","28.750,12.500,0.312",13.09294319152832,13.46077823638916,0.36783504486083984,1,18.823762893676758,20.163562774658203,1.3397998809814453,1
random_000,3,28,"35.625,20.000,0.938","5.000,32.500,2.188",16.923185348510742,17.500761032104492,0.57757568359375,1,29.636354446411133,23.48602867126465,6.150325775146484,1
random_000,3,29,"35.625,20.000,0.938","28.125,33.125,0.312",12.152177810668945,14.052608489990234,1.900430679321289,1,22.63975715637207,23.450151443481445,0.810394287109375,1
random_000,4,5,"18.125,29.375,1.562","18.125,12.500,2.188",14.636016845703125,12.888575553894043,1.747441291809082,1,21.24620819091797,20.083663940429688,1.1625442504882812,1
random_000,4,6,"18.125,29.375,1.562","26.250,36.250,0.312",14.789894104003906,16.238101959228516,1.4482078552246094,1,22.142812728881836,22.34163475036621,0.198822021484375,1
random_000,4,7,"18.125,29.375,1.562","23.125,10.625,0.312",14.902595520019531,16.654970169067383,1.7523746490478516,1,22.47480010986328,19.80768394470215,2.667116165161133,1
random_000,4,8,"18.125,29.375,1.562","28.125,1.250,2.188",4.748286247253418,18.77875518798828,14.030468940734863,1,17.290172576904297,15.770580291748047,1.51959228515625,1
random_000,4,9,"18.125,29.375,1.562","1.250,31.875,0.312",12.529817581176758,12.972432136535645,0.4426145553588867,1,17.00478172302246,17.394712448120117,0.38993072509765625,1
random_000,4,10,"18.125,29.375,1.562","25.625,33.750,1.562",11.7869234085083,12.651138305664062,0.8642148971557617,1,19.929746627807617,20.802690505981445,0.8729438781738281,1
random_000,4,11,"18.125,29.375,1.562","29.375,6.250,1.562",9.658889770507812,20.260257720947266,10.601367950439453,1,25.388423919677734,24.81167984008789,0.5767440795898438,1
random_000,4,12,"18.125,29.375,1.562","31.875,11.250,0.938",14.892830848693848,21.553184509277344,6.660353660583496,1,31.616138458251953,32.72663879394531,1.1105003356933594,1
random_000,4,13,"18.125,29.375,1.562","24.375,10.000,1.562",14.09953784942627,17.44816780090332,3.348629951477051,1,21.423267364501953,20.670948028564453,0.7523193359375,1
random_000,4,14,"18.125,29.375,1.562","30.000,16.875,0.938",19.939029693603516,23.04952621459961,3.1104965209960938,1,35.222110748291016,35.50735855102539,0.285247802734375,1
random_000,4,15,"18.125,29.375,1.562","25.000,35.625,0.938",15.637344360351562,16.09800148010254,0.46065711975097656,1,24.50033187866211,32.8313102722168,8.330978393554688,1
random_000,4,16,"18.125,29.375,1.562","31.250,18.750,1.562",21.79183578491211,26.73004150390625,4.938205718994141,1,39.456878662109375,40.37926483154297,0.9223861694335938,1
random_000,4,17,"18.125,29.375,1.562","30.625,12.500,0.312",14.83604621887207,21.32262420654297,6.486577987670898,1,27.09268569946289,30.44963836669922,3.356952667236328,1
random_000,4,18,"18.125,29.375,1.562","6.250,17.500,1.562",19.651504516601562,21.295299530029297,1.6437950134277344,1,30.33051872253418,28.595809936523438,1.7347087860107422,1
random_000,4,19,"18.125,29.375,1.562","8.750,11.250,1.562",11.797965049743652,18.67023277282715,6.872267723083496,1,17.0682315826416,19.0183048248291,1.9500732421875,1
random_000,4,20,"18.125,29.375,1.562","38.125,23.750,2.188",12.086897850036621,17.481311798095703,5.394413948059082,1,21.837238311767578,20.900503158569336,0.9367351531982422,1
random_000,4,21,"18.125,29.375,1.562","1.250,10.625,0.938",21.03914451599121,21.22771453857422,0.1885700225830078,1,24.135709762573242,24.44148063659668,0.3057708740234375,1
random_000,4,22,"18.125,29.375,1.562","10.625,6.875,0.312",14.225828170776367,21.876148223876953,7.650320053100586,1,24.564451217651367,22.000844955444336,2.5636062622070312,1
random_000,4,23,"18.125,29.375,1.562","25.625,2.500,0.312",12.062552452087402,18.938596725463867,6.876044273376465,1,14.66699504852295,20.91281509399414,6.245820045471191,1
random_000,4,24,"18.125,29.375,1.562","28.125,26.875,0.938",10.070454597473145,12.72724723815918,2.656792640686035,1,21.74297332763672,20.72920036315918,1.013772964477539,1
random_000,4,25,"18.125,29.375,1.562","28.750,32.500,0.938",11.045904159545898,12.79840087890625,1.7524967193603516,1,16.738943099975586,19.452617645263672,2.713674545288086,1
random_000,4,26,"18.125,29.375,1.562","7.500,31.875,0.312",12.322626113891602,13.920980453491211,1.5983543395996094,1,17.086349487304688,17.951623916625977,0.8652744293212891,1
random_000,4,27,"18.125,29.375,1.562","28.750,12.500,0.312",13.624013900756836,17.018798828125,3.394784927368164,1,24.214990615844727,23.305986404418945,0.9090042114257812,1
random_000,4,28,"18.125,29.375,1.562","5.000,32.500,2.188",12.625370979309082,12.839332580566406,0.21396160125732422,1,16.295732498168945,17.225364685058594,0.9296321868896484,1
random_000,4,29,"18.125,29.375,1.562","28.125,33.125,0.312",10.440032005310059,13.341346740722656,2.9013147354125977,1,18.22969627380371,19.913328170776367,1.6836318969726562,1
random_000,5,6,"18.125,12.500,2.188","26.250,36.250,0.312",24.7752628326416,23.38885498046875,1.3864078521728516,1,38.246299743652344,39.473426818847656,1.2271270751953125,1
random_000,5,7,"18.125,12.500,2.188","23.125,10.625,0.312",9.537004470825195,10.479244232177734,0.9422397613525391,1,17.831493377685547,18.084115982055664,0.2526226043701172,1
random_000,5,8,"18.125,12.500,2.188","28.125,1.250,2.188",17.55805778503418,21.380630493164062,3.822572708129883,1,32.074134826660156,33.15410614013672,1.0799713134765625,1
random_000,5,9,"18.125,12.500,2.188","1.250,31.875,0.312",23.60763931274414,20.807645797729492,2.7999935150146484,1,29.18350601196289,38.96404266357422,9.780536651611328,1
random_000,5,10,"18.125,12.500,2.188","25.625,33.750,1.562",25.782512664794922,22.49685287475586,3.2856597900390625,1,42.66108322143555,45.375736236572266,2.7146530151367188,1
random_000,5,11,"18.125,12.500,2.188","29.375,6.250,1.562",16.187150955200195,18.25702667236328,2.069875717163086,1,22.506994247436523,27.842166900634766,5.335172653198242,1
random_000,5,12,"18.125,12.500,2.188","31.875,11.250,0.938",15.311906814575195,16.883867263793945,1.57196044921875,1,26.764379501342773,28.135202407836914,1.3708229064941406,1
random_000,5,13,"18.125,12.500,2.188","24.375,10.000,1.562",11.618768692016602,12.103206634521484,0.4844379425048828,1,19.490306854248047,19.033266067504883,0.45704078674316406,1
random_000,5,14,"18.125,12.500,2.188","30.000,16.875,0.938",15.753952026367188,17.112607955932617,1.3586559295654297,1,25.415626525878906,23.47940444946289,1.9362220764160156,1
